player_id,gsis_id,name,position,pro_team
5529,00-0022942,Philip Rivers,,
8439,00-0023459,Aaron Rodgers,,
9614,00-0024243,Marcedes Lewis,,
10621,00-0025565,Nick Folk,,
11122,00-0023853,Matt Prater,,
11252,00-0026158,Joe Flacco,,
11394,00-0026300,Josh Johnson,,
12460,00-0026858,Graham Gano,,
12483,00-0026498,Matthew Stafford,,
14012,00-0027973,Andy Dalton,,
14163,00-0028118,Tyrod Taylor,,
14880,00-0029604,Kirk Cousins,,
14881,00-0029263,Russell Wilson,,
14993,00-0029621,Greg Zuerlein,,
15168,00-0028986,Case Keenum,,
15683,00-0029597,Justin Tucker,,
15795,00-0030564,DeAndre Hopkins,,
15807,00-0030578,Cordarrelle Patterson,,
15818,00-0030279,Keenan Allen,,
15835,00-0030061,Zach Ertz,,
15847,00-0030506,Travis Kelce,,
15864,00-0030565,Geno Smith,,
15965,00-0030098,Dustin Hopkins,,
16002,00-0029892,Kyle Juszczyk,,
16339,00-0029822,Brandon McManus,,
16460,00-0030035,Adam Thielen,,
16728,00-0031237,Teddy Bridgewater,,
16731,00-0031236,Brandin Cooks,,
16733,00-0031235,Odell Beckham Jr.,,
16737,00-0031408,Mike Evans,,
16757,00-0031280,Derek Carr,,
16760,00-0031345,Jimmy Garoppolo,,
16800,00-0031381,Davante Adams,,
17372,00-0031136,Chris Boswell,,
17427,00-0031203,Cairo Santos,,
2310331,00-0036427,Tyler Johnson,,
2468609,00-0033357,Taysom Hill,,
2473037,00-0031492,Jason Myers,,
2515270,00-0031595,Michael Burton,,
2531358,00-0031484,Chris Manhertz,,
2573079,00-0032950,Carson Wentz,,
2573401,00-0033110,Tyler Higbee,,
2574511,00-0032434,Brandon Allen,,
2576336,00-0032104,Ameer Abdullah,,
2576399,00-0032394,Nick Vannett,,
2576414,00-0031687,Raheem Mostert,,
2576581,00-0032398,Chris Moore,,
2576925,00-0031610,Darren Waller,,
2576980,00-0032268,Marcus Mariota,,
2577327,00-0032211,Tyler Lockett,,
2577417,00-0033077,Dak Prescott,,
2578570,00-0033119,Jacoby Brissett,,
2579604,00-0032208,Phillip Dorsett II,,
2969939,00-0031503,Jameis Winston,,
2971573,00-0032726,Ka'imi Fairbairn,,
2972515,00-0033662,Cooper Rush,,
2973405,00-0032464,Kalif Raymond,,
2975417,00-0033376,Patrick Ricard,,
2975674,00-0033757,Robert Tonyan,,
2975863,00-0033576,Eric Saubert,,
2976212,00-0031588,Stefon Diggs,,
2976499,00-0031544,Amari Cooper,,
2976592,00-0032385,Sterling Shepard,,
2977187,00-0033908,Cooper Kupp,,
2985659,00-0032569,Wil Lutz,,
2991662,00-0033555,Mack Hollins,,
